,index,num_acc_minuto,num_acc_fr_minuto,prom_sobrepaso_acc,prom_sobrepaso_fren,prom_abs_acc,std_acc,num_jerk_acc_minuto,num_jerk_freno_minuto,prom_sobrepaso_jerk_acc,prom_sobrepaso_jerk_freno,prom_abs_jerk,std_jerk,std_potencia,prom_abs_pot,consumption,kms,consumption_per_km,num_current_minuto,num_current_fr_minuto,prom_sobrepaso_current,prom_sobrepaso_current_fr,prom_abs_current,std_current,std_current_std_jerk,highway,slope,max_current,max_jerk,max_acc,max_pot,max_speed,mean_speed,std_speed,log_max_pot,log_max_jerk,log_prom_abs_current,highway_enc
60,60,0.0,0.631578947368421,1.0,1.04,0.39428571428571424,0.51925378168668,0.0,0.0,1.0,1.0,0.7033333333333335,0.7955640905811563,12.500910892525278,14.756714285714285,0.3999999999999986,1.5040007,0.26595732302518116,0.0,0.0,1.0,1.0,38.357142857142854,32.46780194693361,25.830217329081336,primary,2.539605714285714,72.25,0.97,0.75,27.889,50.0,45.714285714285715,3.2513733362117265,3.328232345851373,-0.030459207484708574,3.646940764893606,0
61,61,0.0,0.6818181818181818,1.0,1.08,0.6314285714285715,0.6158584517996496,0.0,0.6818181818181818,1.0,1.0266666666666666,1.0133333333333334,1.0939987812302778,28.65746996537424,25.691142857142857,0.6000000000000014,1.3236751999999998,0.4532834036627728,0.0,0.6818181818181818,1.0,1.0925,66.78571428571429,74.40008366245021,81.39360085015124,primary,2.999271428571429,114.75,1.33,0.46,43.548,65.0,57.42857142857143,6.528326555791127,3.7738637780189337,0.28517894223366247,4.2014891996734285,0
62,62,0.0,0.0,1.0,1.0,1.4874999999999998,1.4944794244150703,1.0909090909090908,0.0,1.8133333333333335,1.0,1.0766666666666667,1.1672284361778642,38.84789781635553,38.5915,0.29999999999999716,1.3711230999999997,0.21879873513909673,0.0,1.0909090909090908,1.0,1.1075,101.0,101.67918297272062,118.68283373309161,primary,1.9770225000000001,109.5,2.72,0.91,41.39100000000001,66.0,52.25,9.251126057585278,3.7230634658940063,1.000631880307906,4.61512051684126,0
63,63,0.0,0.6521739130434783,1.0,1.43,0.7625,0.8997048127024774,0.0,0.6521739130434783,1.0,1.1466666666666667,1.1966666666666665,1.1822671252959525,32.72298103302173,27.184250000000002,0.5,1.434442,0.34856759631968387,0.0,0.0,1.0,1.0,72.625,87.87473328551273,103.89140830761168,primary,4.6121325,188.5,1.13,1.03,69.839,92.0,69.25,16.62077013859466,4.2461925929866835,0.12221763272424911,4.2853092151720755,0
64,64,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.551115123125783e-17,0.28500000000000003,0.0,1.3495820343160003,0.0,0.0,0.0,1.0,1.0,0.75,0.0,0.0,primary,0.5901875294117647,0.75,0.0,0.0,0.285,0.0,0.0,0.0,-1.2552660987134867,-inf,-0.2876820724517809,0
65,65,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.551115123125783e-17,0.28500000000000003,0.0,1.3148301999999998,0.0,0.0,0.0,1.0,1.0,0.75,0.0,0.0,primary,3.238131,0.75,0.0,0.0,0.285,0.0,0.0,0.0,-1.2552660987134867,-inf,-0.2876820724517809,0
66,66,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.551115123125783e-17,0.28500000000000003,0.0,1.3667289999999999,0.0,0.0,0.0,1.0,1.0,0.75,0.0,0.0,primary,3.1254317333333335,0.75,0.0,0.0,0.285,0.0,0.0,0.0,-1.2552660987134867,-inf,-0.2876820724517809,0
67,67,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.285,0.0,1.3530216000000002,0.0,0.0,0.0,1.0,1.0,0.75,0.0,0.0,primary,4.1546,0.75,0.0,0.0,0.285,0.0,0.0,0.0,-1.2552660987134867,-inf,-0.2876820724517809,0
68,68,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.285,0.0,1.3579343999999998,0.0,0.0,0.0,1.0,1.0,0.75,0.0,0.0,primary,4.6635515000000005,0.75,0.0,0.0,0.285,0.0,0.0,0.0,-1.2552660987134867,-inf,-0.2876820724517809,0
69,69,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.285,0.0,1.3340102,0.0,0.0,0.0,1.0,1.0,0.75,0.0,0.0,primary,3.872895625,0.75,0.0,0.0,0.285,0.0,0.0,0.0,-1.2552660987134867,-inf,-0.2876820724517809,0
70,70,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.285,0.0,1.3755693000000002,0.0,0.0,0.0,1.0,1.0,0.75,0.0,0.0,primary,4.800587647058824,0.75,0.0,0.0,0.285,0.0,0.0,0.0,-1.2552660987134867,-inf,-0.2876820724517809,0
71,71,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.551115123125783e-17,0.28500000000000003,0.0,1.3730636,0.0,0.0,0.0,1.0,1.0,0.75,0.0,0.0,primary,4.211581428571429,0.75,0.0,0.0,0.285,0.0,0.0,0.0,-1.2552660987134867,-inf,-0.2876820724517809,0
78,78,0.0,0.0,1.0,1.0,0.1375,0.17992620014883878,0.0,0.0,1.0,1.0,0.16333333333333336,0.21879874060169743,2.565630641741665,18.5763125,0.5999999999999979,1.343385,0.4466329458792512,0.0,0.0,1.0,1.0,50.40625,7.018878004175596,1.535721667750576,primary,4.3256725,64.5,0.43000000000000005,0.41,23.671999999999997,52.0,43.9375,3.5302266216207707,3.164292915097908,-0.8439700702945289,3.920115175325482,0
79,79,0.0,0.49586776859504134,1.0,1.39,0.22473684210526318,0.4056580441128496,0.0,0.0,1.0,1.0,0.35277777777777775,0.5605335311167146,8.361113234207242,17.436000000000003,0.6000000000000014,1.3855498000000002,0.433041093145841,0.0,0.0,1.0,1.0,47.55263157894737,22.738334502678043,12.745598930499147,primary,4.325047368421053,69.75,1.47,0.91,25.424,52.0,38.473684210526315,10.521768023444599,3.2356936097943603,0.3852624007906449,3.8618371308658426,0
80,80,0.0,0.0,1.0,1.0,0.2875,0.3173621748097905,0.0,0.0,1.0,1.0,0.5233333333333333,0.6126626768096418,11.396096974403122,11.6895,0.0,1.3362817,0.0,0.0,0.0,1.0,1.0,31.375,30.52278861768695,18.70017337820695,trunk,0.465341,40.25,0.64,0.11,15.033,63.0,56.5,5.32290647422377,2.710247784645697,-0.4462871026284195,3.446011397451948,4
81,81,0.0,0.9917355371900827,1.0,1.4,0.5177272727272726,0.6613480160604608,1.487603305785124,0.0,1.1022222222222224,1.0,0.630952380952381,0.8348133795554593,15.884269899029247,21.133136363636364,0.6000000000000014,1.3501874,0.4443827575342515,0.9917355371900827,0.0,1.132608695652174,1.0,58.47727272727273,44.107640920857534,36.82164878135975,secondary,6.516489999999999,149.0,1.73,0.84,53.566,57.0,33.36363636363637,15.37947133448151,3.980914538447195,0.5481214085096876,4.068638178363483,2
82,82,0.379746835443038,0.759493670886076,1.5,1.66,0.5605,0.7583025451625491,0.759493670886076,0.379746835443038,1.01,1.16,0.731578947368421,0.9256992565479392,11.407528313683907,17.629450000000002,0.6999999999999993,1.3069920000000002,0.5355809369911975,0.0,0.0,1.0,1.0,48.8625,31.65452919804684,29.302574145006993,secondary,5.9990015,103.0,1.52,1.5,37.336999999999996,41.0,26.25,7.261107643502217,3.619984792089992,0.41871033485818504,3.889010231119073,2
83,83,0.0,0.8391608391608392,1.0,1.2149999999999999,0.44375000000000003,0.5914211638549601,0.8391608391608392,0.0,1.1866666666666668,1.0,0.6456521739130434,0.8640964991969277,10.214068008875335,16.582375,0.7000000000000028,1.3565796399999996,0.5160036162712888,0.0,0.0,1.0,1.0,46.229166666666664,28.487844630064007,24.616246814504304,secondary,4.692422708333333,82.0,1.94,0.82,29.355999999999998,48.0,30.833333333333332,10.098069839962172,3.3794969546828164,0.6626879730752367,3.833610912024703,2
84,84,0.0,0.0,1.0,1.0,0.10500000000000002,0.13367070413092447,0.0,0.0,1.0,1.0,0.17461538461538462,0.23267164561793133,3.629379387690948,18.520214285714285,0.7999999999999972,1.4417625000000003,0.5548764099496255,0.0,0.0,1.0,1.0,51.964285714285715,10.241659124997915,2.3829436824711676,residential,5.520950857142857,75.5,0.5800000000000001,0.3,26.916,41.0,34.642857142857146,4.765374193994759,3.2927209053260715,-0.5447271754416719,3.950556669430389,1
85,85,0.0,0.0,1.0,1.0,0.29117647058823526,0.43768737954678666,0.0,0.0,1.0,1.0,0.364375,0.5907275043325814,10.33848591747089,18.417647058823526,0.6000000000000014,1.3834369,0.4337024695524613,0.0,0.0,1.0,1.0,51.85294117647059,29.21948915899802,17.260755908767816,residential,4.436493176470588,95.5,0.8599999999999999,0.48,33.711999999999996,47.0,36.294117647058826,6.192381467197746,3.517853857061833,-0.15082288973458377,3.9484116577817088,1
86,86,0.0,0.9090909090909091,1.0,1.195,0.3961538461538462,0.5440675210446047,0.45454545454545453,0.0,1.4266666666666667,1.0,0.6725,0.8909463601511972,9.840953342955391,22.92846153846154,0.8999999999999986,1.3577548000000002,0.6628590081213475,0.0,0.0,1.0,1.0,65.1923076923077,28.128338066207604,25.06084041719003,residential,5.157106923076924,98.0,2.14,0.84,34.349000000000004,49.0,35.0,10.472185381603339,3.5365729061630797,0.7608058290337602,4.177341481793069,1
87,87,0.5,0.5,1.16,1.12,0.46476190476190476,0.5757861627509119,0.5,0.5,1.2666666666666666,1.2066666666666668,0.7485,0.9223062127081222,13.524042251350982,15.303285714285712,0.3999999999999986,1.4062663999999996,0.28444112722880865,0.0,0.0,1.0,1.0,43.5,38.56128981974486,35.56531717078915,residential,4.148369047619046,99.0,1.9,1.16,34.501999999999995,59.0,35.61904761904762,10.34154819394171,3.5410172933715525,0.6418538861723947,3.7727609380946383,1
88,88,0.0,0.0,1.0,1.0,0.3675,0.4388766911103847,0.0,0.0,1.0,1.0,0.47157894736842093,0.6178001362174091,13.603444586850054,10.71535,0.1999999999999993,1.3487356999999998,0.1482870216900163,0.0,0.0,1.0,1.0,30.225,38.476892416098266,23.771029375888105,residential,-0.11899069999999971,97.75,1.29,0.98,34.408,52.0,36.1,8.607829972885458,3.5382890954814354,0.25464221837358075,3.4086693965008563,1
89,89,1.1764705882352942,1.1764705882352942,1.2200000000000002,1.225,0.5113636363636362,0.6643266957436574,1.1764705882352942,1.1764705882352942,1.2866666666666668,1.3800000000000001,0.8176190476190477,1.130838590766758,13.738038905724741,11.840090909090907,0.0,1.3526397399999996,0.0,0.0,0.0,1.0,1.0,33.17045454545455,38.51005590740859,43.548657352682994,residential,-2.2994895681818184,54.75,2.5,1.37,19.327,59.0,40.36363636363637,15.98077849747256,2.961503082003331,0.9162907318741551,3.5016595563759085,1
90,90,0.0,0.4838709677419355,1.0,1.07,0.32666666666666666,0.4259034515004545,0.0,0.0,1.0,1.0,0.39086956521739125,0.4892693522537667,10.92125427198103,9.638458333333334,0.09999999999999787,1.30286126,0.07675414341508463,0.0,0.0,1.0,1.0,27.104166666666668,30.75083981463849,15.045443477367513,residential,-0.11156845833333325,76.75,1.04,0.81,27.093000000000004,50.0,34.583333333333336,15.494505805120975,3.2992753919367717,0.03922071315328133,3.299687467604614,1
91,91,0.6593406593406593,0.0,1.09,1.0,0.46615384615384614,0.5799714336976655,0.6593406593406593,0.6593406593406593,1.1,1.3800000000000001,0.7000000000000001,0.9475304158120146,13.432235927052503,15.276615384615384,0.3000000000000007,1.4503716000000002,0.2068435427169152,0.0,0.0,1.0,1.0,43.13461538461539,37.90073846683414,35.91210247906177,residential,2.2402650769230763,87.5,1.6500000000000001,1.09,30.756,57.0,38.69230769230769,13.306543599451459,3.4260850971699344,0.5007752879124894,3.764325815938781,1
92,92,0.0,0.0,1.0,1.0,0.20055555555555551,0.26010978214098773,0.0,0.0,1.0,1.0,0.3076470588235294,0.3864334300338816,15.475918913661383,13.812666666666665,0.0,1.3518666000000001,0.0,0.0,0.0,1.0,1.0,39.15277777777778,43.91779331255663,16.971303509290326,residential,-1.7176137333333332,89.5,0.99,0.48,31.325,47.0,35.94444444444444,7.899904855884413,3.444416500782132,-0.01005033585350145,3.667471372098057,1
93,93,0.0,0.0,1.0,1.0,0.3361904761904762,0.4220874590997128,0.0,0.0,1.0,1.0,0.3865,0.4746985885801643,13.055251271756797,10.893571428571429,0.0,1.4359173999999997,0.0,0.0,0.0,1.0,1.0,30.63095238095238,36.764221645470464,17.451924125353155,residential,-1.273188142857143,73.0,1.33,0.96,25.66,46.0,37.61904761904762,8.885247269919901,3.2449333591874905,0.28517894223366247,3.4220110134384307,1
95,95,0.5217391304347826,0.0,1.22,1.0,0.2792857142857143,0.43450241304137255,0.0,0.5217391304347826,1.0,1.42,0.5253846153846153,0.7750197554267731,9.629803541609768,13.800500000000001,-0.1999999999999993,1.3060587000000001,-0.15313247406108108,0.0,0.0,1.0,1.0,38.17857142857143,26.569268345367796,20.591707854895255,residential,-6.726630214285714,10.75,1.32,1.22,3.859,55.0,41.57142857142857,5.6393437386098215,1.3504080825554816,0.27763173659827955,3.6422744008498413,1
96,96,0.0,0.0,1.0,1.0,0.2247058823529412,0.31527655789556813,0.0,0.0,1.0,1.0,0.3775,0.509606159205322,8.08427249060929,11.856294117647058,-0.3000000000000007,1.3097088999999997,-0.2290585335413089,0.0,0.0,1.0,1.0,32.75,22.202648771188258,11.314606564470012,residential,-5.031998235294117,1.75,1.31,0.56,0.631,44.0,37.94117647058823,6.618823424855188,-0.4604494164409239,0.2700271372130602,3.488902962081261,1
97,97,0.0,0.0,1.0,1.0,0.168,0.20650423724466285,0.0,0.0,1.0,1.0,0.2544444444444445,0.33214603362726014,10.51820231598537,16.142999999999997,-0.3000000000000007,1.3282914,-0.22585405581937873,0.0,0.0,1.0,1.0,44.25,28.780462122766547,9.559316340036505,residential,-5.056146,14.25,0.55,0.44,5.159,49.0,44.0,3.1622776601683795,1.6407427622625128,-0.5978370007556204,3.7898553714539385,1
98,98,0.39473684210526316,0.39473684210526316,1.3,1.06,0.35222222222222227,0.4726834349008114,0.0,0.0,1.0,1.0,0.5338461538461539,0.6882909113872019,6.501906229083667,8.304777777777778,-0.3999999999999986,1.3038740500000001,-0.30677809716360144,0.0,0.0,1.0,1.0,22.99074074074074,17.59381574695276,12.10966347524862,secondary,-5.89093888888889,1.75,1.21,1.3,0.637,54.0,26.296296296296298,14.688600537661364,-0.45098562340997367,0.1906203596086497,3.1350915583839467,2
99,99,0.0,0.45977011494252873,1.0,1.175,0.4177142857142857,0.5741335974798044,0.0,0.22988505747126436,1.0,1.2266666666666668,0.6111764705882353,0.8198423766135473,6.665721713301844,4.674142857142857,0.0,1.3066070938400003,0.0,0.0,0.0,1.0,1.0,12.871428571428572,18.34651443290345,15.041249995246313,secondary,-0.9262767999999998,39.75,1.87,0.91,14.409,47.0,16.257142857142856,15.75425779449677,2.667853011350797,0.6259384308664954,2.5550100155589788,2
101,101,0.0,0.0,1.0,1.0,0.2675,0.37247949235121947,0.0,0.0,1.0,1.0,0.37000000000000005,0.4589171588399,8.97798041003964,17.82691666666667,0.5,1.3110649,0.38136937385784636,0.0,0.0,1.0,1.0,50.979166666666664,25.714199425285116,11.800687342094434,primary,3.300599666666667,92.0,0.7999999999999999,0.83,32.2,67.0,52.083333333333336,7.3045232976601975,3.4719664525503626,-0.22314355131420985,3.9314170525347807,0
102,102,0.0,0.631578947368421,1.0,1.1,0.22062500000000002,0.3242292543479074,0.0,0.0,1.0,1.0,0.31600000000000006,0.4716184898835075,8.984396041714492,16.5305,0.5,1.3815951,0.36190053077055645,0.0,0.0,1.0,1.0,47.53125,25.873018492968693,12.20219391038196,primary,3.491004375,69.75,0.9000000000000001,0.31,24.273000000000003,52.0,45.125,4.964876634922564,3.1893646214938123,-0.10536051565782616,3.8613873894595665,0
103,103,0.0,0.0,1.0,1.0,0.13785714285714287,0.1776217604797294,0.0,0.0,1.0,1.0,0.2646153846153846,0.30313744026811945,2.4091594096747713,23.383285714285716,0.6000000000000014,1.3752626000000001,0.43628031475588835,0.0,0.0,1.0,1.0,67.625,6.985156455963296,2.117462447933043,primary,4.224255714285714,77.5,0.63,0.33,26.776,58.0,51.92857142857143,3.4073288819675316,3.2875059639090254,-0.4620354595965587,4.213977737166646,0
104,104,0.0,0.0,1.0,1.0,0.1330769230769231,0.19211990831664902,0.0,0.0,1.0,1.0,0.16,0.22317158321693997,7.745289574426251,22.653153846153845,0.5,1.4129699000000004,0.3538645798470299,0.0,0.0,1.0,1.0,65.9423076923077,22.619161772487082,5.047954143806028,primary,4.0651930769230775,91.75,0.36,0.3,31.516,63.0,56.0,5.049752469181039,3.4504953533834417,-1.0216512475319814,4.188780233881493,0
105,105,0.0,0.0,1.0,1.0,0.14076923076923079,0.17457641042512898,0.0,0.0,1.0,1.0,0.2608333333333333,0.2758962667380623,4.496309557085243,23.24653846153846,0.6000000000000014,1.3199665999999999,0.4545569562138932,0.0,0.0,1.0,1.0,67.73076923076923,13.208192947816352,3.6440911246585332,primary,4.696687692307693,90.75,0.30000000000000004,0.32,31.037,57.0,52.30769230769231,3.1985573671218144,3.4351800411596196,-1.203972804325936,4.215540570474724,0
106,106,0.0,0.0,1.0,1.0,0.2692857142857143,0.35967743485358816,0.0,0.0,1.0,1.0,0.3576923076923077,0.5132078024745046,12.907851418807082,18.86778571428572,0.3999999999999986,1.3011305,0.3074249662120737,0.0,0.0,1.0,1.0,54.982142857142854,37.48695776601537,19.238599216551314,primary,3.6484571428571426,82.0,1.08,0.56,28.085,56.0,46.857142857142854,11.002497219038279,3.3352356259843963,0.0769610411361284,4.007008457189351,0
107,107,0.0,0.0,1.0,1.0,0.2813333333333333,0.45084907551073994,0.0,0.0,1.0,1.0,0.3514285714285715,0.6040273003696413,8.3186192577588,18.7776,0.6000000000000014,1.3720038,0.4373165730299008,0.0,0.0,1.0,1.0,54.81666666666667,24.297747952342323,14.676503100715312,primary,4.034717333333332,82.25,2.11,0.62,28.13,52.0,43.4,6.769680304753795,3.3368366225017656,0.7466879474879751,4.003994283966956,0
115,115,0.0,0.0,1.0,1.0,0.28454545454545455,0.32485979175256613,0.0,0.0,1.0,1.0,0.388,0.5066122777825267,6.575543528425227,6.399090909090909,-0.09999999999999787,1.3904614999999996,-0.07191856804377389,0.0,0.0,1.0,1.0,18.068181818181817,18.558289898774134,9.401857517366421,primary,-1.7494105454545457,14.75,0.96,0.41,5.207000000000002,58.0,51.0,5.882176467941097,1.6500038741807623,-0.040821994520255166,2.8941524807360706,0
116,116,0.0,0.0,1.0,1.0,0.145625,0.1625468682411322,0.0,0.0,1.0,1.0,0.16,0.20659138413786768,5.408453073878311,6.4474374999999995,-0.1999999999999993,1.3759917000000004,-0.14534971395539611,0.0,0.0,1.0,1.0,18.1875,15.24602919615465,3.149698274239931,primary,-3.29234429125,1.75,0.37,0.23,0.616,60.0,49.5,5.138093031466052,-0.4845083154486173,-0.9942522733438669,2.9007345449317112,0
117,117,0.5309734513274337,0.5309734513274337,1.41,1.27,0.45222222222222214,0.6156979378049628,0.0,0.0,1.0,1.0,0.6523529411764706,0.811367336671437,11.925915740391327,8.470555555555556,0.09999999999999787,1.3367535199999998,0.07480810673309309,0.0,0.0,1.0,1.0,24.180555555555557,33.852738573867505,27.467006335713297,secondary,-0.5803228111111112,52.5,1.3499999999999999,1.41,18.27,59.0,40.0,17.12239675361587,2.9052603703899154,0.300104592450338,3.1855488207521336,2
118,118,0.28169014084507044,0.28169014084507044,1.55,1.66,0.47583333333333333,0.6255522868475879,0.5633802816901409,0.0,1.1133333333333333,1.0,0.6408571428571428,0.7632222775168181,9.217342412773922,5.956722222222222,-0.3000000000000007,1.3972229228200002,-0.21471162196116414,0.0,0.28169014084507044,1.0,1.105,17.53472222222222,25.95993749130512,19.81320261630813,tertiary,-3.5747991666666667,47.25,1.8099999999999998,1.55,16.538,58.0,23.944444444444443,19.852231892437462,2.805660763299975,0.5933268452777343,2.8641830421334595,3
119,119,0.0,0.0,1.0,1.0,0.3054545454545454,0.38172509687833844,0.0,0.0,1.0,1.0,0.29000000000000004,0.3949126485692754,10.853500064628578,8.976272727272727,0.10000000000000142,1.3573231000000001,0.07367442578705204,0.0,0.0,1.0,1.0,25.75,31.193875219979795,12.318855882261708,primary,0.7039969699999999,81.0,0.53,0.76,28.026,64.0,53.54545454545455,8.914747740274386,3.333132650748026,-0.6348782724359695,3.248434627109745,0
120,120,0.0,0.6896551724137931,1.0,1.23,0.5166666666666667,0.5367960506561128,0.6896551724137931,0.6896551724137931,1.2,1.14,0.6572727272727271,0.8806027237209713,16.910398612162346,14.278500000000001,0.40000000000000213,1.3657287999999999,0.29288391663118046,0.0,0.0,1.0,1.0,41.333333333333336,49.02851352926059,43.17464255385737,primary,2.9262258333333335,103.75,1.7999999999999998,0.57,35.534,73.0,50.583333333333336,13.249070865078759,3.5704899846137144,0.587786664902119,3.721669276936927,0
121,121,0.0,0.0,1.0,1.0,0.30083333333333334,0.34490236138491265,0.0,0.0,1.0,1.0,0.440909090909091,0.4843228211031587,12.625155242994925,15.637083333333337,0.3999999999999986,1.3807158,0.2897048038416006,0.0,0.0,1.0,1.0,45.333333333333336,36.62661164447997,17.739103879104345,primary,2.389069166666667,99.0,0.6799999999999999,0.45,34.056,63.0,52.916666666666664,5.282188481256149,3.528006228525851,-0.3856624808119848,3.8140425970679424,0
122,122,0.7792207792207793,0.7792207792207793,1.35,1.4,0.5966666666666666,0.7407466203470359,0.0,0.7792207792207793,1.0,1.06,1.0218181818181817,1.1268136895286154,32.30348072608947,30.15591666666667,0.6000000000000014,1.3965265,0.42963738962347037,1.5584415584415585,0.7792207792207793,1.857608695652174,1.0425,87.9375,94.18070277028917,106.12410517098743,primary,2.8946586666666665,214.0,1.67,1.35,74.15100000000002,87.0,64.75,14.949156254694534,4.306103554669673,0.5128236264286637,4.476626334874608,0
123,123,0.0,0.0,1.0,1.0,0.41181818181818175,0.4835492060904906,0.0,0.0,1.0,1.0,0.37,0.5221149298765552,24.329577264469037,21.234454545454547,0.3000000000000007,1.4305833,0.20970467081504499,0.0,0.0,1.0,1.0,62.04545454545455,71.10604204198144,37.125526154548524,primary,2.6885081818181815,206.25,0.4,1.03,70.434,81.0,60.27272727272727,10.48895523005899,4.25467610112444,-0.916290731874155,4.127867254260744,0
