id;timestamp;placa;operative_state;latitude;longitude;elevation;slope;speed;odometer;user_id;batt_temp;ext_temp;power_kw;acceleration;capacity;vehicle_id;soc;soh;voltage;current;throttle;regen_brake;consumption;range_est;range_ideal;range_full;drivetime;charge_time;footbrake;engine_temp;is_charging;tpms;ocv;coulomb;energy;occupants;rpm;station_id;sensor_data;charger_type;coulomb_rec;drivemode;energy_rec;mass;mec_power;mean_acc;mec_power_delta_e;friction_force;net_force;run;en_pot;mean_speed;freeram;net_signal;tasks;elevation2;mean_acc_server;charge_current;eff;angle_x;angle_y;q_loss;ilumination;AcX;AcY;AcZ;humidity;kwh_km
32335;"2021-03-05 11:54:11";NULL;1;6.20483;-75.5787;1496.11;-2.65894;3;474;Santiago_Echavarria;23;30.5;0.588;0;27.92;FVQ731;97;95;392;1.13;0;0;0.992246;184.319;206.61;190.019;0;0;0;0;NULL;NULL;NULL;0;0;NULL;229;NULL;NULL;;NULL;0;0;1609;-0.0608191;0.18;NULL;186.931;-336.844;1.10706;-959.266;0.65;NULL;-83;NULL;NULL;NULL;0;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL
32336;"2021-03-05 11:54:13";NULL;4;6.20482;-75.5787;1496.16;2.83663;0;474;Santiago_Echavarria;23;30.5;0.3925;0;27.92;FVQ731;97;95;392.5;0.48;0;0;1;184.319;206.61;190.019;0;0;0;0;NULL;NULL;NULL;0;0;NULL;0;NULL;NULL;;NULL;0;0;1609;0;0;NULL;186.554;1110.91;1.10723;1023.47;0;NULL;-83;NULL;NULL;NULL;0;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL
32337;"2021-03-05 11:54:18";NULL;1;6.20496;-75.5787;1495.64;-1.93986;14;474;Santiago_Echavarria;23;30.5;0.784;0;27.92;FVQ731;97;95;392;4;0;0;0.993429;184.319;206.61;190.019;0;0;0;0;NULL;NULL;NULL;0;0;NULL;912;NULL;NULL;;NULL;0;0;1609;-0.00589753;0.23;NULL;190.608;-3.73787;15.4911;-9794.49;5.68;NULL;-83;NULL;NULL;NULL;0;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL
32338;"2021-03-05 11:54:28";NULL;2;6.20525;-75.5786;1495.54;-0.173971;19;474;Santiago_Echavarria;23;30.5;-0.392;0;27.92;FVQ731;97;95;392;0;0;0;1;184.319;206.61;190.019;0;0;0;0;NULL;NULL;NULL;0;0;NULL;1287;NULL;NULL;;NULL;0;0;1609;0;0;NULL;186.782;130.068;33.9263;-1924.1;0;NULL;-83;NULL;NULL;NULL;0;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL
32339;"2021-03-05 11:54:32";NULL;1;6.20525;-75.5786;1495.54;0;19;474;Santiago_Echavarria;23;30.5;-0.196;0;27.92;FVQ731;97;95;392;4.83;0;0;2.93156;184.319;206.61;190.019;0;0;0;0;NULL;NULL;NULL;0;0;NULL;1289;NULL;NULL;;NULL;0;0;1609;1.72653;0.18;NULL;196.822;539.542;0.0030127;-56.2718;11.52;NULL;-83;NULL;NULL;NULL;0;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL
32340;"2021-03-05 11:54:40";NULL;2;6.20618;-75.5785;1495.05;-0.26922;37;474;Santiago_Echavarria;23;30.5;-2.5448;0;27.92;FVQ731;97;95;391.5;3.38;0;0;2.79815;184.319;206.61;190.019;0;0;0;0;NULL;NULL;NULL;0;0;NULL;2430;NULL;NULL;;NULL;0;0;1609;1.60729;0.05;NULL;219.832;227.268;103.441;-9078.46;25.46;NULL;-83;NULL;NULL;NULL;0;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL
32341;"2021-03-05 11:54:53";NULL;2;6.20667;-75.5784;1495.67;0.638654;30;474;Santiago_Echavarria;23;30.5;-1.7663;0;27.92;FVQ731;97;95;392.5;-4.93;0;0;1.11447;184.319;206.61;190.019;0;0;0;0;NULL;NULL;NULL;0;0;NULL;1980;NULL;NULL;;NULL;0;0;1609;0.102321;-0.22;NULL;224.1;13.4143;55.3098;11515.2;27.46;NULL;-113;NULL;NULL;NULL;0;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL
32342;"2021-03-05 11:54:56";NULL;1;6.20703;-75.5784;1495.62;-0.0733714;0;474;Santiago_Echavarria;23;30.5;0.3925;0;27.92;FVQ731;97;95;392.5;0;0;0;1;184.319;206.61;190.019;0;0;0;0;NULL;NULL;NULL;0;0;NULL;-6;NULL;NULL;;NULL;0;0;1609;0;0;NULL;186.782;162.863;39.8114;-952.244;0;NULL;-55;NULL;NULL;NULL;0;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL
32343;"2021-03-05 11:55:03";NULL;2;6.20703;-75.5784;1495.62;0;0;474;Santiago_Echavarria;23;30.5;0.1963;0;27.92;FVQ731;97;95;392.5;-12.86;0;0;-6.02974;184.319;206.61;190.019;0;0;0;0;NULL;NULL;NULL;0;0;NULL;1;NULL;NULL;;NULL;0;0;1609;-9.81838;-1.01;NULL;210.532;-1712.51;0.000981445;-18.3317;20.64;NULL;-55;NULL;NULL;NULL;0;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL
32344;"2021-03-05 11:55:48";NULL;4;6.20703;-75.5784;1495.62;0;0;474;Santiago_Echavarria;23;30;-0.196;0;27.92;FVQ731;97;95;392;-0.45;0;0;1;184.625;206.61;190.335;0;0;0;0;NULL;NULL;NULL;0;0;NULL;0;NULL;NULL;;NULL;0;0;1609;0;0;NULL;186.782;186.782;0.000981445;-18.3317;0;NULL;-55;NULL;NULL;NULL;0;NULL;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL
