,num_acc_min,num_acc_fr_min,prom_sobrepaso_acc,prom_sobrepaso_fren,prom_abs_acc,std_acc,num_jerk_acc_min,num_jerk_freno_min,prom_sobrepaso_jerk_acc,prom_sobrepaso_jerk_freno,prom_abs_jerk,std_jerk,std_pot,prom_abs_pot,consumption,kms,consumption_per_km,num_current_min,num_current_fr_min,prom_sobrepaso_current,prom_sobrepaso_current_fr,prom_abs_current,std_current,std_current_std_jerk,highway,slope,max_current,max_jerk,max_acc,max_pot,max_speed,mean_speed,std_speed,iqr_pot,mean_soc
174,0.0,0.0,1.0,1.0,0.33062499999999995,0.4428525255375654,0.5172413793103449,0.0,1.08,1.0,0.5579999999999999,0.7244185407775137,7.247848898283114,5.2473125,0.09999999999999787,1.3304617199999997,0.07516187688586627,0.0,0.0,1.0,1.0,16.299999999999997,26.226797483680695,18.999178362395337,primary,-0.49301625,86.47,1.62,0.8,12.013,70.2,35.190625,25.952695035069734,2.825,75.6875
175,0.0,0.0,1.0,1.0,0.2318181818181818,0.3522653958181375,0.0,0.0,1.0,1.0,0.4600000000000001,0.6149666657632753,23.595022642585704,30.78063636363636,0.6000000000000014,1.4940455000000001,0.4015941950897756,0.7894736842105263,0.0,1.1678260869565218,1.0,69.12818181818182,49.987317713910244,30.74053410497289,primary,3.8399072727272734,134.3,1.3399999999999999,0.48,72.36399999999998,72.58,65.53,6.105759576006905,31.755,65.27272727272727
176,0.0,0.0,1.0,1.0,0.321,0.3235444328063767,0.0,0.0,1.0,1.0,0.35111111111111115,0.42738076815370896,24.666729020281547,25.476,0.40000000000000213,1.4008305999999997,0.285544876018558,0.0,0.0,1.0,1.0,48.681000000000004,49.670158294493085,21.228070406216773,primary,1.5902310000000002,97.44,0.54,0.28,52.338,69.14,63.174000000000014,5.21421816872972,43.6315,63.6
177,0.0,1.6666666666666667,1.0,1.255,0.5346666666666667,0.6325236930125402,0.8333333333333334,1.6666666666666667,1.1066666666666667,1.1766666666666665,0.8457142857142858,1.0589174294764345,28.06893636950919,24.869400000000002,0.6999999999999993,1.3413598000000002,0.5218584901679618,1.6666666666666667,0.0,1.1982173913043477,1.0,68.29533333333332,65.73980929560278,69.61302987357071,primary,3.4096159999999998,149.2,1.6600000000000001,0.63,70.778,76.89,58.95399999999999,10.802425521282576,28.363500000000002,61.333333333333336
178,0.0,0.0,1.0,1.0,0.2833333333333333,0.3386720617826318,0.0,0.0,1.0,1.0,0.33999999999999997,0.4066325122269492,11.264299519025629,10.489555555555556,-0.10000000000000142,1.3647155999999998,-0.07327534029800893,0.0,0.0,1.0,1.0,13.136666666666665,15.775561816217003,6.414856333119853,primary,-1.9451200000000004,11.83,0.8,0.44,15.114,52.64,48.04777777777778,4.389341572997532,9.921,60.0
180,0.6818181818181818,0.0,1.06,1.0,0.44875,0.5744005026982479,0.0,0.0,1.0,1.0,0.6242857142857143,0.7316071210641929,22.125576975174567,15.706624999999999,0.1999999999999993,1.3303467,0.15033675056284146,0.0,0.0,1.0,1.0,32.47125,42.851683145910386,31.350596539134493,trunk,0.34993325,76.86,1.31,1.06,43.199,75.38,56.19499999999999,15.682715690484585,13.927249999999999,61.0
181,0.0,0.0,1.0,1.0,0.2081818181818182,0.25884287258980454,0.0,0.0,1.0,1.0,0.3303125,0.42105881696474423,5.28587437498969,4.063454545454546,0.1999999999999993,1.36686874,0.14631982877887698,0.0,0.0,1.0,1.0,8.510606060606062,10.088088421863985,4.247678576345783,trunk,0.25273192424242424,31.7,1.03,0.45,19.997,46.01,21.930909090909093,12.508974119516248,5.356000000000001,60.515151515151516
182,0.0,0.0,1.0,1.0,0.1892307692307692,0.27739063093438737,0.0,0.0,1.0,1.0,0.22333333333333336,0.30798629118120757,8.529571613236238,7.4601538461538475,0.0,1.3266235,0.0,0.0,0.0,1.0,1.0,14.226153846153842,19.479267084617074,5.999347224319386,trunk,-0.4932361246153846,55.63,0.28,0.81,16.02,58.32,50.77384615384615,4.600109669818642,13.364999999999998,57.0
183,0.0,0.0,1.0,1.0,0.3678947368421053,0.4392016176448218,0.0,0.0,1.0,1.0,0.42833333333333334,0.5872747795254506,10.243993341685044,8.139842105263158,0.1999999999999993,1.4007943699999998,0.14277613066077594,0.0,0.0,1.0,1.0,26.786842105263162,27.756503248359245,16.300694325577627,primary,0.833718347368421,64.79,0.95,0.87,25.725,56.32,37.52,17.066126293528555,13.623000000000001,55.0
184,0.3333333333333333,0.0,1.18,1.0,0.26500000000000007,0.3797776904753957,0.3333333333333333,0.0,1.1933333333333334,1.0,0.4281081081081081,0.639563286903424,7.245819770947045,3.958921052631579,0.1999999999999993,1.39212094309,0.1436656786127162,0.0,0.0,1.0,1.0,10.684736842105265,19.785140413033083,12.653849434405206,trunk,0.4539387342105263,90.39,1.79,1.18,18.981,66.62,22.29947368421053,14.62403463154728,3.4645,54.578947368421055
185,0.6593406593406593,0.0,1.18,1.0,0.5239999999999999,0.6330687166493065,0.0,0.0,1.0,1.0,0.8166666666666668,0.8794821708760723,17.047758600179673,13.6831,0.40000000000000213,1.3552166,0.2951557706716418,0.0,0.0,1.0,1.0,35.728,38.05693897307034,33.4703993049341,secondary,1.2749807,103.45,1.18,1.18,30.756,66.45,45.178,16.516769121781117,14.9195,43.7
188,0.0,0.0,1.0,1.0,0.35090909090909084,0.45251364072403644,0.0,0.0,1.0,1.0,0.5029999999999999,0.640378794152336,11.943473887960598,8.338545454545455,0.09999999999999432,1.3099969,0.07633605850517228,0.0,0.0,1.0,1.0,22.972727272727273,30.41798424105805,19.479032068833515,primary,0.08064413636363638,94.0,0.79,0.81,31.677,77.81,59.68181818181817,9.336729425427105,8.2615,95.0909090909091
189,0.5660377358490566,0.5660377358490566,2.05,1.31,0.33882352941176475,0.6281427559076901,0.5660377358490566,0.5660377358490566,1.3666666666666665,1.3266666666666664,0.5387500000000001,0.8282124953778467,21.59216220143022,12.972764705882351,0.20000000000000284,1.34169802032,0.14906483945791477,0.5660377358490566,0.0,1.1516521739130434,1.0,30.720588235294116,45.12145551070848,37.37015326360436,primary,0.32298741176470586,132.44,2.05,2.05,70.876,75.29,43.621764705882356,29.97360468714393,5.7079999999999975,94.70588235294117
190,0.0,0.0,1.0,1.0,0.384,0.41612978744617646,0.0,0.0,1.0,1.0,0.41888888888888887,0.5083403156776077,11.862137043551638,10.424999999999999,0.10000000000000142,1.3768890999999999,0.07262749047835547,0.0,0.0,1.0,1.0,24.74,28.882172979192546,14.681972929698011,primary,0.39894609999999997,64.3,1.13,0.76,24.256,71.23,54.278,14.377367090133173,15.92325,93.8
191,0.46875,0.0,1.13,1.0,0.3411111111111111,0.47215293609351655,0.0,0.0,1.0,1.0,0.41294117647058814,0.5220859147900327,10.76801255777706,8.407555555555556,0.3999999999999986,1.4219964022659999,0.28129466387016516,0.0,0.0,1.0,1.0,20.699444444444442,22.420295321069045,11.705320392563022,primary,0.9433288333333333,63.83,1.0999999999999999,1.13,31.814,62.63,39.3,25.080641937558138,9.91675,92.61111111111111
192,0.0,0.31088082901554404,1.0,1.07,0.19296296296296292,0.3512181427737512,0.0,0.0,1.0,1.0,0.2173076923076923,0.34210387190383806,9.094768872845538,4.560259259259259,0.0,1.4077051016700004,0.0,0.0,0.0,1.0,1.0,9.312592592592592,15.634117812672427,5.348492237516001,primary,-0.6590069999999999,45.67,0.8900000000000001,0.86,36.052,58.5,27.915925925925922,26.37949586315671,0.7695,92.0
