zone,name,latitude,longitude
228.0,LALINDE_0570,6.212904094,-75.56697323
229.0,LAS ACACIAS_1061,6.241228298999999,-75.60092431
230.0,LAS ANTILLAS_2860,6.126342984,-75.57331318
231.0,LAS BRISAS_1910,6.308497188,-75.56168057
233.0,"Las Flores-La Pradera-El Guaima-Uribe Ángel-Zuñiga, La esmeralda, Gascuña_2800",6.145845849,-75.56106574
234.0,LAS GRANJAS_2230,6.279059635,-75.55088977
235.0,LAS GRANJAS_2240,6.27881977,-75.54642297
236.0,LAS INDEPENDENCIAS_1230,6.24929602,-75.62378889
237.0,LAS LOMAS # 1_0580,6.2110751529999995,-75.56207201
238.0,LAS LOMAS # 2_0590,6.2107453,-75.55731322
239.0,LAS MERCEDES_1030,6.23594422,-75.61005139
240.0,LAS PALMAS_0210,6.239674934,-75.56539223
241.0,LAS PALMAS_2960,6.162341321,-75.61962851
242.0,LAS PLAYAS_0920,6.220614697999999,-75.59556176
243.0,LAS VIOLETAS_3900,6.231581081,-75.61119029
244.0,LAS VIOLETAS_3910,6.228606537,-75.61218149999998
245.0,LAS VIOLETAS_3920,6.231414337,-75.6140431
246.0,LAS VIOLETAS_3930,6.235839197000001,-75.61718828
247.0,LAURELES_1081,6.241133166,-75.59511066
248.0,LAURELES_1130,6.245641646,-75.59611039
249.0,LLANADITAS_0310,6.252892664,-75.53981247
250.0,LOMA DE LOS BERNAL_0970,6.218470657,-75.60343856
251.0,LOMA DEL BARRO_2770,6.162100793,-75.59766569
252.0,LÓPEZ DE MESA - CÓRDOBA_1780,6.28199855,-75.57866061
253.0,LORENA_1140,6.248179588999999,-75.59856474
254.0,LORETO_0470,6.230754284,-75.5575998
255.0,LOS ALCAZARES_1311,6.260791264,-75.60459112
256.0,LOS ALPES_1010,6.2305016460000004,-75.60783414
257.0,LOS ÁNGELES_0240,6.252522404,-75.55820441
258.0,LOS BALSOS # 1_0730,6.187167737,-75.55796937
259.0,LOS BALSOS # 1_0740,6.1902039460000005,-75.56411994
260.0,LOS BALSOS # 2_0701,6.196704181,-75.57212956
261.0,LOS BALSOS # 2_0703,6.194295627000001,-75.56859074
262.0,LOS CERROS EL VERGEL_0370,6.233788704,-75.54423838
263.0,LOS COLORES_1440,6.266105016,-75.59248244
264.0,LOS CONQUISTADORES_1101,6.2431036460000024,-75.58095362
265.0,LOS CONQUISTADORES_1102,6.24142806,-75.58549664
266.0,LOS MANGOS - 13 DE NOVIEMBRE_0300,6.249566023,-75.54379938
267.0,LOS NARANJOS_0721,6.196862491,-75.56161537
268.0,LOS NARANJOS_0722,6.194907852,-75.55570697
269.0,LOS PINOS - EL VELÓDROMO_1340,6.253437725,-75.5984132
270.0,MANILA_0660,6.213373082,-75.57324851
271.0,MANRIQUE CENTRAL # 1_2120,6.2659838720000005,-75.55715366
272.0,MANRIQUE CENTRAL # 2_2130,6.264515478,-75.55351856
273.0,MANRIQUE ORIENTAL_2140,6.264179849,-75.54934316
275.0,MESA_2810,6.169100032,-75.58245945
276.0,MIRAFLORES_0360,6.2371154760000005,-75.5500454
277.0,MIRANDA_2212,6.275108827,-75.56263925
279.0,MORAVIA_2070,6.278598958,-75.56678519
280.0,MOSCÚ # 1_2000,6.291575974,-75.55374112
282.0,NARANJAL_1370,6.25079617,-75.58413982
283.0,NOGAL LOS ALMENDROS_1082,6.2373175010000015,-75.59664388
284.0,NUEVA VILLA DE ABURRÁ - MIRAVALLE_1070,6.2356069760000015,-75.6022308
285.0,NUEVOS CONQUISTADORES_1210,6.250444464,-75.62822667
287.0,OLEODUCTO_1820,6.284402223,-75.56910959
289.0,PALENQUE_1531,6.279099812999999,-75.59465615
290.0,PALERMO_2022,6.287141752999999,-75.56422322
291.0,PARQUE J. EMILIO VALDERRAMA_2082,6.272284567000001,-75.56798228
292.0,PATIO BONITO_0681,6.208442344,-75.57777891
293.0,PATIO BONITO_0682,6.2053376170000005,-75.57443778
294.0,PEDREGAL_1730,6.300908722999999,-75.57325923
295.0,PERPETUO SOCORRO_0190,6.236064226,-75.57417068
296.0,PERPETUO SOCORRO_0520,6.2319208160000015,-75.57159766
297.0,PICACHO - PICACHITO_1680,6.297287702,-75.58450348
298.0,PILSEN_3070,6.170457863999999,-75.62383503
300.0,PLAYÓN DE LOS COMUNEROS - LA FRONTERA - PABLO VI_1930,6.30562208,-75.55366422
301.0,PLAZA DE FERIAS - HECTOR ABAD GÓMEZ_1900,6.299800819,-75.56126271
303.0,POPULAR_3410,6.299062102000001,-75.54834969
306.0,POPULAR_3440,6.302064227000001,-75.5476118
308.0,PORTAL DE LAS FLORES_3080,6.169048981,-75.63574725
309.0,PRADO_0090,6.257822547999999,-75.56305164
310.0,PRADO_0100,6.2612474229999995,-75.56050177
311.0,PROGRESO # 2 - EL TRIUNFO - MIRADOR DEL 12_1690,6.306339254,-75.58396642
312.0,PROGRESO_1600,6.27266348,-75.57680534
313.0,PROGRESO_1610,6.27601223,-75.57671876
314.0,ROBLEDO_1511,6.275787944,-75.59771981
315.0,ROSALES_3750,6.236992935,-75.59115584
316.0,ROSALES_3760,6.233685587999999,-75.58900564
317.0,ROSALES_3770,6.233258387999999,-75.59238294
318.0,SAMARIA ROBLES DEL SUR_2950,6.162535374,-75.62751094
319.0,SAN BENITO_0030,6.252579675,-75.5722968
320.0,SAN BENITO_0141,6.25735685,-75.57368888
321.0,SAN BENITO_0142,6.254892838,-75.57493015
322.0,SAN BERNARDO_3870,6.225645815,-75.59296457
323.0,SAN BERNARDO_3880,6.225699337999999,-75.59590608
324.0,SAN BERNARDO_3890,6.227147244,-75.59856085
325.0,SAN DIEGO_0510,6.232838699,-75.56776663
326.0,SAN FERNANDO_3020,6.190835691,-75.58844632
327.0,SAN GERMÁN_1570,6.268960451,-75.58846413
328.0,SAN ISIDRO_2021,6.286904347999999,-75.56061562
330.0,SAN JAVIER_1250,6.255836974,-75.61732751
331.0,SAN JOSÉ  _2850,6.155776787000001,-75.5804152
332.0,SAN JOSÉ DE LA CIMA # 1_3571,6.281238953,-75.54288712
